"aX,aY,aZ,gX,gY,gZ"
"0.927490,-0.021362,0.405029,-2.014160,11.962890,5.432128"
"0.930176,-0.026367,0.404785,-13.610839,10.192870,5.737304"
"0.926880,-0.018188,0.426270,-15.502929,9.826660,6.958007"
"0.914307,-0.008789,0.421631,-8.605957,11.657714,7.690429"
"0.907471,-0.007202,0.411499,-10.803222,12.451171,8.911133"
"0.871582,0.021484,0.385620,-13.427733,7.385253,8.789063"
"0.830078,0.051147,0.402466,-12.145995,2.929687,6.469726"
"0.827881,0.055786,0.440796,-8.239746,-2.197266,1.098633"
"0.843872,0.055664,0.486450,0.183105,0.976562,-2.807617"
"0.873413,0.032227,0.461670,3.540039,3.723144,-4.943848"
"0.932861,-0.026978,0.403687,13.183593,6.530761,-9.033203"
"0.957031,-0.048828,0.375732,8.239746,5.676269,-5.554199"
"0.975342,-0.050537,0.347412,-1.953125,3.295898,-1.770019"
"0.947144,-0.018311,0.383057,-7.873535,-3.601074,4.089355"
"0.919678,0.003296,0.417603,-12.084960,-7.202148,7.263183"
"0.887573,0.041382,0.469849,-13.977050,-7.629394,6.530761"
"0.905640,0.030884,0.492310,-9.094238,-6.835937,4.821777"
"0.934448,0.000610,0.462158,3.723144,-2.136230,2.868652"
"0.942749,-0.008911,0.431152,6.286621,1.708984,4.455566"
"0.920044,0.014282,0.423096,-1.831055,1.342773,6.469726"
"0.868530,0.072510,0.480835,-14.099120,-0.732422,7.324218"
"0.862915,0.077148,0.493286,-8.239746,1.281738,1.586914"
"0.892700,0.044922,0.478638,-5.004883,3.784179,-0.793457"
"0.926514,0.018555,0.440552,-5.493164,4.272461,-0.244141"
"0.921753,0.004028,0.387695,-0.610352,2.929687,1.342773"
"0.901367,0.016846,0.385742,-7.690429,-1.159668,4.211426"
"0.880127,0.057617,0.450195,-8.483887,-2.624511,3.784179"
"0.900391,0.049072,0.483032,1.953125,-0.427246,-0.793457"
"0.908447,0.031616,0.462769,8.728027,5.126953,-3.112793"
"0.909058,0.011353,0.406982,6.774902,5.920410,-2.746582"
"0.927124,0.005371,0.421143,0.671387,2.563476,-2.380371"
"0.938232,-0.001587,0.434448,4.882812,2.258301,-1.525879"
"0.930908,0.001831,0.423218,0.732422,4.455566,2.136230"
"0.903687,0.026733,0.406982,-3.601074,4.211426,2.807617"
"0.905518,0.029907,0.411865,-6.408691,3.906250,1.281738"
"0.899048,0.022095,0.422607,-3.540039,5.249023,-0.366211"
""
"0.899780,0.016113,0.452881,-7.751464,-3.295898,-1.220703"
"0.894897,0.016846,0.456421,-1.159668,-2.014160,-2.502441"
"0.908569,0.002075,0.446899,1.037598,-0.976562,-3.051758"
"0.919556,-0.007202,0.428345,1.708984,-0.793457,-2.685547"
"0.921631,-0.013062,0.411621,6.164550,-0.122070,-2.014160"
"0.922607,-0.014160,0.404419,5.432128,0.122070,-0.976562"
"0.909546,-0.001709,0.423584,0.549316,-0.732422,-0.427246"
"0.904663,-0.000244,0.446533,-1.464844,-1.098633,-1.159668"
"0.905396,-0.001953,0.441650,-4.455566,0.488281,-0.610352"
"0.904053,-0.003784,0.418701,-13.366698,-1.037598,0.610352"
"0.911743,0.000732,0.436401,-12.268065,-2.319336,0.793457"
"0.908691,0.006836,0.450439,-5.859375,-2.746582,1.037598"
"0.905518,0.008911,0.453125,-2.380371,-1.342773,1.220703"
"0.908936,0.009155,0.444214,2.075195,-0.427246,0.854492"
"0.895630,0.013916,0.433594,3.540039,0.793457,0.305176"
"0.897827,0.006714,0.437500,4.089355,0.976562,-1.281738"
"0.924072,-0.010742,0.432129,5.310058,1.647949,-0.427246"
"0.900024,0.012695,0.429810,0.488281,1.342773,0.854492"
"0.886963,0.023682,0.432495,-5.126953,-0.122070,0.366211"
"0.893799,0.007813,0.434082,-3.540039,-1.525879,-1.159668"
"0.914307,-0.001831,0.439575,-2.685547,-1.953125,-0.793457"
"0.910034,0.004639,0.447510,0.427246,-0.976562,-0.122070"
"0.911011,0.002930,0.451904,2.441406,1.647949,-0.305176"
"0.915527,0.002930,0.437378,1.708984,2.868652,-0.122070"
"0.903687,0.006836,0.418579,-4.272461,2.990722,0.183105"
"0.900635,0.006958,0.418091,-4.211426,1.037598,-0.122070"
"0.902222,0.006348,0.428711,0.122070,-0.244141,-0.244141"
"0.904663,0.005493,0.439819,1.403808,-0.427246,-0.244141"
"0.908447,0.005005,0.435181,2.807617,0.183105,-0.366211"
"0.908325,0.005249,0.432861,0.305176,0.854492,-0.366211"
"0.900146,0.009277,0.431030,-1.708984,0.976562,-0.305176"
"0.896118,0.014893,0.439331,-1.525879,0.915527,-0.732422"
"0.901611,0.013306,0.442017,1.708984,0.915527,-2.075195"
"0.909546,0.004639,0.436646,0.366211,0.732422,-1.770019"
"0.913086,0.003418,0.427002,-0.793457,0.488281,-1.281738"
"0.908325,0.004150,0.423828,-0.793457,-0.427246,-0.671387"
"0.903320,0.006592,0.428467,-1.098633,-0.976562,-0.671387"
"0.900635,0.006836,0.437988,0.061035,-0.915527,-1.037598"
"0.901001,0.002197,0.432861,0.122070,0.305176,-1.770019"
"0.906250,0.001343,0.438232,-5.798339,1.037598,-1.525879"
"0.922974,-0.003418,0.439331,-0.427246,1.586914,-1.831055"
"0.919189,-0.009033,0.417236,0.793457,1.708984,-1.342773"
"0.897949,0.005981,0.413696,0.854492,0.732422,0.427246"
