aX,aY,aZ,gX,gY,gZ
-0.093750,0.957031,-0.223755,-10.375976,18.554687,-9.704590
-0.078857,0.971680,-0.334961,-5.737304,16.662598,-7.324218
-0.074707,0.971069,-0.296265,-4.150391,6.103515,-7.385253
-0.079224,0.949707,-0.208496,-8.789063,5.859375,-6.591796
-0.082031,0.920532,-0.215698,-9.338379,7.385253,-5.004883
-0.077515,0.943115,-0.235840,-7.385253,8.117676,-1.708984
-0.077026,0.949585,-0.252075,-11.230468,7.141113,-0.976562
-0.077759,0.953003,-0.284302,-11.779784,5.493164,-0.671387
-0.078247,0.942871,-0.282104,-8.361816,0.976562,0.549316
-0.078735,0.951050,-0.251343,-5.920410,-2.807617,3.112793
-0.086670,0.964966,-0.206909,-8.789063,-0.610352,4.394531
-0.095337,0.965698,-0.238159,-7.934570,0.427246,4.760742
-0.103271,0.985840,-0.217651,-4.272461,-1.342773,5.920410
-0.106201,0.990356,-0.204834,-5.676269,-1.892090,5.310058
-0.103516,0.993774,-0.269409,-6.408691,-0.915527,4.455566
-0.109253,0.962646,-0.263550,-3.723144,-7.080078,3.112793
-0.110718,0.955933,-0.190186,-5.920410,-12.145995,5.187988
-0.103882,0.983765,-0.141235,-4.577637,-5.493164,6.347656
-0.114380,0.976074,-0.204102,-0.671387,-4.028320,5.126953
-0.122314,0.972046,-0.201660,8.117676,-6.896972,6.347656
-0.121948,0.983521,-0.192139,12.023925,-8.728027,7.324218
-0.120239,0.983154,-0.171143,12.817382,-8.972168,6.164550
-0.114746,1.007080,-0.202026,10.192870,-8.178711,3.479004
-0.111816,1.000366,-0.216553,6.713867,-10.009766,-1.708984
-0.112915,0.969238,-0.199585,13.977050,-13.793944,-6.347656
-0.125732,0.912231,-0.159912,18.981934,-11.840819,1.770019
-0.126709,0.954712,-0.178589,16.418457,-10.742187,7.873535
-0.120117,0.986206,-0.161743,8.728027,-11.901855,11.718749
-0.118652,0.992798,-0.146973,10.192870,-14.282226,6.286621
-0.125732,0.934937,-0.146118,12.390136,-14.587401,3.417969
-0.125732,0.977661,-0.172485,21.179197,-16.235352,4.943848
-0.127319,0.986206,-0.095459,19.592285,-20.568846,3.417969
-0.126953,1.001343,-0.071045,11.230468,-20.446775,-0.793457

-0.092773,0.969360,-0.272461,-9.704590,5.371093,-1.770019
-0.091919,0.940063,-0.280273,-5.126953,2.685547,-3.723144
-0.092651,0.927368,-0.309814,1.342773,0.427246,-1.159668
-0.089233,0.975830,-0.257813,0.183105,-4.455566,0.549316
-0.089233,0.952271,-0.194458,-5.615234,-0.732422,2.136230
-0.096802,1.009399,-0.231079,-7.263183,0.305176,3.356933
-0.098755,0.956299,-0.200684,-12.634276,1.281738,1.281738
-0.094727,0.917236,-0.255127,-8.239746,2.197266,4.028320
-0.095215,1.008545,-0.285645,-2.380371,0.427246,6.713867
-0.101685,0.984619,-0.230957,-17.028809,-5.981445,2.014160
-0.116089,0.974854,-0.137207,-26.550291,-5.859375,-0.244141
-0.122681,0.788086,-0.263916,-29.846189,1.342773,-2.441406
-0.117432,0.844971,-0.349121,2.014160,-4.028320,14.648437
-0.115356,1.021362,-0.323730,8.422852,-10.559081,16.113281
-0.119751,0.977295,-0.407471,14.526366,-17.395020,10.314940
-0.128418,1.000000,-0.336060,30.151365,-32.348633,9.643555
-0.131104,0.991821,-0.124146,36.804199,-27.465818,10.803222
-0.147827,1.042358,-0.112793,30.456541,-23.864744,10.620116
-0.148193,0.956421,-0.099976,14.770507,-17.333984,7.507324
-0.143799,0.953491,-0.164185,6.958007,-9.887695,10.437011
-0.144165,0.986938,-0.219971,9.399414,-12.145995,10.192870
-0.148193,0.986328,-0.179565,21.484373,-18.676758,7.629394
-0.146851,0.981201,-0.142212,18.737793,-21.362303,6.652832
-0.140503,0.962280,-0.091309,4.028320,-17.822266,7.690429
-0.135742,0.950806,-0.108032,1.098633,-15.136718,8.178711
-0.136841,0.936646,-0.126587,6.225585,-11.657714,10.681151
-0.137573,0.947754,-0.140137,12.695312,-7.995605,13.671874
-0.141113,0.972046,-0.213013,15.563964,-8.422852,14.343261
-0.148071,0.975586,-0.201782,21.789549,-15.319823,13.061522
-0.146362,0.978271,-0.168335,23.681639,-20.935057,10.314940
-0.147705,0.945557,-0.129272,23.559568,-18.676758,9.704590
-0.157593,0.995605,-0.147583,23.925779,-18.981934,9.582520
-0.186279,0.927734,-0.034912,23.864744,-24.230955,7.385253
-0.194092,1.002686,0.018677,19.836426,-21.118162,12.268065
-0.203857,1.035034,-0.014893,17.456055,-17.272949,9.765625
-0.197754,0.981201,-0.067017,12.451171,-14.831542,8.239746
-0.202393,0.989868,-0.072021,17.211914,-16.906738,10.070800
-0.213501,1.055664,-0.043091,23.559568,-17.639160,7.690429
-0.220215,1.032593,0.021362,20.996092,-19.104004,6.164550
-0.215698,1.007568,0.126587,4.943848,-17.883301,4.638672
-0.208374,0.988037,0.113037,4.516602,-9.216309,3.479004
-0.214111,1.041138,0.094604,9.338379,-6.835937,3.234863
-0.218018,1.036377,0.037598,8.361816,-1.770019,-0.671387
-0.214233,1.000488,-0.000488,4.150391,-1.342773,-2.563476
-0.220215,0.991455,0.023071,2.685547,-4.882812,-0.549316
-0.223755,1.010864,0.104736,-0.183105,-3.967285,-0.061035
-0.226440,1.026611,0.109741,-6.042480,1.403808,-1.647949
-0.231201,1.011719,0.126465,-5.004883,5.004883,-3.967285
-0.225220,1.014893,0.091064,-7.507324,11.047362,-3.967285
-0.206299,1.010132,0.015503,-12.329101,12.084960,-4.211426
-0.194336,1.004639,-0.047607,-18.615723,10.070800,-5.737304
-0.192505,0.985840,-0.018066,-23.193357,4.089355,-6.164550
-0.175537,0.974609,0.021973,-20.935057,5.432128,-6.042480
-0.176270,0.962280,0.020020,-17.028809,8.056641,-6.530761
-0.177368,0.923706,-0.020996,-8.239746,15.686034,-5.676269
-0.173218,0.945557,-0.082397,-8.666992,20.263670,-1.953125
-0.175659,0.985718,-0.120483,-10.925292,17.272949,-2.380371
-0.170044,0.949097,-0.015747,-15.502929,11.779784,-2.197266
-0.161133,0.928833,-0.054565,-17.883301,18.493652,0.000000
-0.164429,0.965698,-0.133789,-16.967773,18.005371,0.000000
-0.175171,0.952637,-0.100342,-11.596679,14.038085,-2.258301
-0.178833,0.978149,-0.090088,-8.666992,13.061522,-0.854492
-0.196533,1.042725,-0.034424,-15.869140,11.718749,-6.591796
-0.212280,0.996582,0.019287,-21.545408,14.282226,-8.300781
-0.202759,1.007813,-0.141235,-21.301268,24.841307,-7.141113
-0.192749,1.017334,-0.203125,-13.000487,22.888182,-7.263183
-0.180420,1.037964,-0.170288,-10.620116,15.380858,-10.498046
-0.184814,1.035156,-0.133911,-11.413573,14.770507,-11.840819
-0.182617,0.999390,-0.081665,-14.343261,14.953612,-13.916015
-0.183960,0.990234,-0.074097,-19.958496,19.470215,-13.793944
-0.178955,0.970947,-0.136353,-16.296387,23.254393,-13.854980
-0.151733,0.967529,-0.181519,-13.610839,23.620604,-12.756347
-0.128662,0.941895,-0.266968,-14.221190,24.291990,-12.878417
-0.120605,0.933350,-0.291626,-15.441894,19.104004,-11.840819
-0.115723,0.885254,-0.252441,-10.314940,13.366698,-5.798339
-0.103638,0.925415,-0.205566,-7.934570,14.343261,-3.234863
-0.102661,0.944458,-0.288696,-6.652832,18.005371,-2.868652
-0.105591,0.955078,-0.276367,-9.887695,14.404296,-4.150391
-0.111694,0.925537,-0.279419,-9.826660,14.038085,-4.333496
-0.107056,0.969971,-0.363159,-4.516602,13.854980,-1.708984
-0.106812,0.946899,-0.336182,-5.737304,6.591796,-3.173828
-0.106689,0.928955,-0.303833,-7.934570,3.967285,-2.258301
-0.117432,0.936279,-0.305176,-7.690429,4.272461,-1.098633
-0.125488,0.941406,-0.287354,-9.948730,2.807617,2.197266
-0.127441,0.984253,-0.290527,-6.286621,0.976562,3.417969
-0.127075,0.958984,-0.281250,-7.324218,-0.671387,1.098633
-0.127075,0.978394,-0.275146,-9.399414,-1.586914,1.953125
-0.126099,0.919678,-0.235718,-14.526366,-2.746582,0.854492
-0.125000,0.871948,-0.250244,-10.498046,-2.319336,5.126953
-0.126099,0.972168,-0.215332,0.244141,-4.333496,8.361816
-0.135132,0.947998,-0.194092,0.244141,-2.258301,6.713867
-0.127319,0.950806,-0.366577,-2.075195,2.563476,9.033203
-0.133423,1.000244,-0.389526,-0.976562,-8.972168,8.911133
-0.154175,0.991943,-0.254150,1.098633,-14.465331,4.272461
-0.159302,0.923340,-0.204834,4.760742,-13.549804,5.310058
-0.158203,0.995972,-0.201172,8.972168,-11.596679,9.948730
-0.160767,0.995605,-0.214844,7.507324,-10.375976,7.385253
-0.165039,0.978638,-0.226562,7.080078,-10.253905,6.774902
-0.155029,0.975586,-0.268555,9.460449,-10.375976,5.798339
-0.151733,0.968018,-0.283203,16.540527,-15.136718,2.014160
-0.155151,0.906128,-0.219971,19.592285,-20.019531,4.455566
-0.156006,0.954590,-0.145508,16.906738,-18.676758,8.239746
-0.156738,0.965698,-0.171631,8.972168,-13.000487,9.704590
-0.162231,0.970703,-0.198242,2.502441,-10.559081,9.216309
-0.169067,0.948608,-0.217285,0.793457,-13.427733,7.995605
-0.175903,0.961670,-0.206787,0.915527,-14.343261,8.972168
-0.174438,0.956787,-0.228149,4.028320,-14.953612,9.521484
-0.174438,0.955200,-0.223633,13.244628,-17.700195,9.460449
-0.179565,0.984863,-0.165771,15.869140,-18.249512,9.338379
-0.187378,0.991455,-0.175415,12.756347,-15.319823,7.324218
-0.190186,0.989990,-0.187988,13.000487,-15.930175,5.065917
-0.196899,0.976685,-0.148193,15.563964,-19.226074,5.798339
-0.197754,0.971802,-0.120605,15.686034,-17.333984,6.469726
-0.201660,0.973145,-0.175903,19.714355,-14.831542,7.568359
-0.204468,0.967041,-0.142212,23.559568,-19.409180,7.751464
-0.214600,0.964844,-0.078369,23.498533,-19.775391,8.117676
-0.214844,0.990601,-0.049561,20.874022,-18.249512,8.972168
-0.217163,0.989502,-0.050171,22.888182,-16.906738,7.263183
-0.226807,0.977539,0.020752,23.132322,-16.540527,7.507324
-0.231812,0.999756,0.091309,19.714355,-14.221190,8.117676
-0.239746,1.027466,0.092163,9.704590,-7.324218,7.629394
-0.240845,1.029785,0.047852,5.249023,-1.892090,5.310058
-0.243042,1.037354,0.012817,1.892090,-1.770019,3.540039
-0.245361,1.041748,-0.001709,1.159668,-1.770019,1.770019
-0.243286,1.011719,0.040161,6.286621,-3.051758,-2.990722
-0.239746,0.995239,0.090942,0.976562,3.845215,-2.197266
-0.226807,1.021729,0.014771,-0.671387,7.934570,-2.197266
-0.217651,0.980957,-0.008301,-6.958007,8.605957,-4.943848

-0.167480,1.001343,-0.298584,8.422852,-5.615234,5.310058
-0.167603,0.956299,-0.265625,4.760742,-11.901855,2.380371
-0.167480,0.947998,-0.228027,9.521484,-16.418457,3.051758
-0.167725,0.926636,-0.168945,13.000487,-16.357422,4.577637
-0.164795,0.932739,-0.157104,17.089844,-13.488769,7.934570
-0.166748,0.959229,-0.145020,14.160155,-10.986327,9.277344
-0.168823,0.999268,-0.196289,11.901855,-9.704590,4.821777
-0.171997,0.916260,-0.244019,14.404296,-13.122558,4.455566
-0.176758,0.969604,-0.147583,20.568846,-20.874022,8.300781
-0.177612,0.942505,-0.137573,20.446775,-18.066406,6.835937
-0.178345,0.962891,-0.143433,16.906738,-16.174316,7.446289
-0.183594,0.896729,-0.165161,11.291503,-13.916015,6.347656
-0.180054,0.930786,-0.187134,13.793944,-13.671874,11.230468
-0.177246,0.955444,-0.199585,24.902342,-16.601562,11.657714
-0.177490,0.981567,-0.189941,28.137205,-19.470215,9.887695
-0.204956,0.934570,-0.093018,24.414061,-25.268553,7.385253
-0.213379,0.954590,-0.043945,20.629881,-23.376463,11.718749
-0.218994,0.954102,-0.007690,17.761230,-17.150879,12.390136
-0.222290,1.010254,-0.046509,16.906738,-13.977050,13.305663
-0.230225,1.038574,-0.114502,21.484373,-12.390136,10.070800
