"aX,aY,aZ,gX,gY,gZ"
"0.005493,-1.112427,-0.441528,41.687008,22.766111,-39.733887"
"-0.003540,-0.970703,-0.499512,59.020992,28.442381,-25.817869"
"0.000977,-0.965088,-0.620728,35.095215,25.634764,-28.259275"
"0.010376,-0.944702,-0.634399,20.751951,11.474608,-28.747557"
"0.015259,-0.836670,-0.598999,25.024412,5.920410,-31.005857"
"-0.029419,-0.932617,-0.504272,20.812986,-0.427246,-42.297359"
"-0.088257,-0.970215,-0.504272,11.291503,-0.671387,-37.109375"
"-0.097656,-0.930420,-0.518921,5.798339,-4.638672,-29.418943"
"-0.084961,-0.844727,-0.479248,-0.610352,-5.981445,-30.639647"
"-0.052368,-0.850342,-0.511230,-9.460449,-4.333496,-37.170410"
"-0.027100,-0.848877,-0.561523,-11.840819,-11.108397,-39.916992"
"-0.040161,-0.940186,-0.510254,-28.930662,-27.648924,-57.250973"
"-0.110718,-1.278931,-0.256470,-30.822752,-30.151365,-50.781246"
"-0.135254,-0.921143,-0.218384,-2.624511,-12.756347,-7.141113"
"-0.060791,-0.888306,-0.492310,10.742187,2.441406,-8.178711"
"-0.031006,-1.003906,-0.528687,18.920898,-13.854980,-15.808105"
"-0.033081,-1.116455,-0.428223,25.085447,-23.437498,-12.329101"
"-0.063354,-1.045044,-0.250000,26.000975,-36.682129,0.854492"
"-0.061279,-0.861816,-0.177490,12.390136,-31.311033,-2.624511"
"-0.052368,-0.780762,-0.223022,-28.625486,-15.991210,-49.865719"
"-0.034546,-1.039185,-0.310303,-38.513184,-19.653320,-45.654293"
"-0.022705,-1.124146,-0.342285,-36.254883,-20.690916,-34.667969"
"-0.029175,-1.203247,-0.360229,-15.319823,-19.470215,-22.827147"
"-0.067871,-1.073486,-0.311401,4.577637,-24.597166,-0.915527"
"-0.099854,-0.928223,-0.207642,4.943848,-25.146482,0.000000"
"-0.094971,-0.901978,-0.201904,-4.638672,-20.263670,-7.690429"
"-0.083496,-0.956665,-0.238892,-22.338865,-16.174316,-18.432617"
"-0.072388,-1.093506,-0.322998,-38.330078,-21.301268,-16.784668"
"-0.061279,-1.178101,-0.329712,-38.391113,-25.146482,-10.253905"
"-0.050903,-1.122803,-0.319702,-20.019531,-30.944822,10.742187"
"-0.073120,-0.983521,-0.252441,-3.967285,-38.574219,24.658201"
"-0.103271,-0.855347,-0.151123,-22.583006,-36.010742,9.155273"
"-0.077759,-0.993164,-0.220337,-34.912109,-32.409668,0.488281"
